1889,"Accrington F.C.","Aston Villa",4,2,1
1889,"Accrington F.C.","Blackburn Rovers",2,2,1
1889,"Accrington F.C.","Bolton Wanderers",3,1,1
1889,"Accrington F.C.","Burnley",2,2,1
1889,"Accrington F.C.","Derby County",6,1,1
1889,"Accrington F.C.","Everton",5,3,1
1889,"Accrington F.C.","Notts County",1,8,1
1889,"Accrington F.C.","Preston North End",2,2,1
1889,"Accrington F.C.","Stoke City",2,1,1
1889,"Accrington F.C.","West Bromwich Albion",0,0,1
1889,"Accrington F.C.","Wolverhampton Wanderers",6,3,1
1889,"Aston Villa","Accrington F.C.",1,2,1
1889,"Aston Villa","Blackburn Rovers",3,0,1
1889,"Aston Villa","Bolton Wanderers",1,2,1
1889,"Aston Villa","Burnley",2,2,1
1889,"Aston Villa","Derby County",7,1,1
1889,"Aston Villa","Everton",1,2,1
1889,"Aston Villa","Notts County",1,1,1
1889,"Aston Villa","Preston North End",5,3,1
1889,"Aston Villa","Stoke City",6,1,1
1889,"Aston Villa","West Bromwich Albion",1,0,1
1889,"Aston Villa","Wolverhampton Wanderers",2,1,1
1889,"Blackburn Rovers","Accrington F.C.",3,2,1
1889,"Blackburn Rovers","Aston Villa",7,0,1
1889,"Blackburn Rovers","Bolton Wanderers",7,1,1
1889,"Blackburn Rovers","Burnley",7,1,1
1889,"Blackburn Rovers","Derby County",4,2,1
1889,"Blackburn Rovers","Everton",2,4,1
1889,"Blackburn Rovers","Notts County",9,1,1
1889,"Blackburn Rovers","Preston North End",3,4,1
1889,"Blackburn Rovers","Stoke City",8,0,1
1889,"Blackburn Rovers","West Bromwich Albion",5,0,1
1889,"Blackburn Rovers","Wolverhampton Wanderers",4,3,1
1889,"Bolton Wanderers","Accrington F.C.",2,4,1
1889,"Bolton Wanderers","Aston Villa",2,0,1
1889,"Bolton Wanderers","Blackburn Rovers",3,2,1
1889,"Bolton Wanderers","Burnley",2,2,1
1889,"Bolton Wanderers","Derby County",7,1,1
1889,"Bolton Wanderers","Everton",3,4,1
1889,"Bolton Wanderers","Notts County",0,4,1
1889,"Bolton Wanderers","Preston North End",2,6,1
1889,"Bolton Wanderers","Stoke City",5,0,1
1889,"Bolton Wanderers","West Bromwich Albion",7,0,1
1889,"Bolton Wanderers","Wolverhampton Wanderers",4,1,1
1889,"Burnley","Accrington F.C.",2,2,1
1889,"Burnley","Aston Villa",2,6,1
1889,"Burnley","Blackburn Rovers",1,2,1
1889,"Burnley","Bolton Wanderers",7,0,1
1889,"Burnley","Derby County",2,0,1
1889,"Burnley","Everton",0,1,1
1889,"Burnley","Notts County",3,0,1
1889,"Burnley","Preston North End",0,3,1
1889,"Burnley","Stoke City",1,3,1
1889,"Burnley","West Bromwich Albion",1,2,1
1889,"Burnley","Wolverhampton Wanderers",1,2,1
1889,"Derby County","Accrington F.C.",2,3,1
1889,"Derby County","Aston Villa",5,0,1
1889,"Derby County","Blackburn Rovers",4,0,1
1889,"Derby County","Bolton Wanderers",3,2,1
1889,"Derby County","Burnley",4,1,1
1889,"Derby County","Everton",2,2,1
1889,"Derby County","Notts County",2,0,1
1889,"Derby County","Preston North End",2,1,1
1889,"Derby County","Stoke City",2,0,1
1889,"Derby County","West Bromwich Albion",3,1,1
1889,"Derby County","Wolverhampton Wanderers",3,3,1
1889,"Everton","Accrington F.C.",2,2,1
1889,"Everton","Aston Villa",7,0,1
1889,"Everton","Blackburn Rovers",3,2,1
1889,"Everton","Bolton Wanderers",3,0,1
1889,"Everton","Burnley",2,1,1
1889,"Everton","Derby County",3,0,1
1889,"Everton","Notts County",5,3,1
1889,"Everton","Preston North End",1,5,1
1889,"Everton","Stoke City",8,0,1
1889,"Everton","West Bromwich Albion",5,1,1
1889,"Everton","Wolverhampton Wanderers",1,1,1
1889,"Notts County","Accrington F.C.",3,1,1
1889,"Notts County","Aston Villa",1,1,1
1889,"Notts County","Blackburn Rovers",1,1,1
1889,"Notts County","Bolton Wanderers",3,5,1
1889,"Notts County","Burnley",1,1,1
1889,"Notts County","Derby County",3,1,1
1889,"Notts County","Everton",4,3,1
1889,"Notts County","Preston North End",0,1,1
1889,"Notts County","Stoke City",3,1,1
1889,"Notts County","West Bromwich Albion",1,2,1
1889,"Notts County","Wolverhampton Wanderers",0,2,1
1889,"Preston North End","Accrington F.C.",3,1,1
1889,"Preston North End","Aston Villa",3,2,1
1889,"Preston North End","Blackburn Rovers",1,1,1
1889,"Preston North End","Bolton Wanderers",3,1,1
1889,"Preston North End","Burnley",6,0,1
1889,"Preston North End","Derby County",5,0,1
1889,"Preston North End","Everton",1,2,1
1889,"Preston North End","Notts County",4,3,1
1889,"Preston North End","Stoke City",10,0,1
1889,"Preston North End","West Bromwich Albion",5,0,1
1889,"Preston North End","Wolverhampton Wanderers",0,2,1
1889,"Stoke City","Accrington F.C.",7,1,1
1889,"Stoke City","Aston Villa",1,1,1
1889,"Stoke City","Blackburn Rovers",0,3,1
1889,"Stoke City","Bolton Wanderers",0,1,1
1889,"Stoke City","Burnley",3,4,1
1889,"Stoke City","Derby County",1,1,1
1889,"Stoke City","Everton",1,2,1
1889,"Stoke City","Notts County",1,1,1
1889,"Stoke City","Preston North End",1,2,1
1889,"Stoke City","West Bromwich Albion",1,3,1
1889,"Stoke City","Wolverhampton Wanderers",2,1,1
1889,"West Bromwich Albion","Accrington F.C.",4,1,1
1889,"West Bromwich Albion","Aston Villa",3,0,1
1889,"West Bromwich Albion","Blackburn Rovers",3,2,1
1889,"West Bromwich Albion","Bolton Wanderers",6,3,1
1889,"West Bromwich Albion","Burnley",6,1,1
1889,"West Bromwich Albion","Derby County",2,3,1
1889,"West Bromwich Albion","Everton",4,1,1
1889,"West Bromwich Albion","Notts County",4,2,1
1889,"West Bromwich Albion","Preston North End",2,2,1
1889,"West Bromwich Albion","Stoke City",2,1,1
1889,"West Bromwich Albion","Wolverhampton Wanderers",1,4,1
1889,"Wolverhampton Wanderers","Accrington F.C.",2,1,1
1889,"Wolverhampton Wanderers","Aston Villa",1,1,1
1889,"Wolverhampton Wanderers","Blackburn Rovers",2,4,1
1889,"Wolverhampton Wanderers","Bolton Wanderers",5,1,1
1889,"Wolverhampton Wanderers","Burnley",9,1,1
1889,"Wolverhampton Wanderers","Derby County",2,1,1
1889,"Wolverhampton Wanderers","Everton",2,1,1
1889,"Wolverhampton Wanderers","Notts County",2,0,1
1889,"Wolverhampton Wanderers","Preston North End",0,1,1
1889,"Wolverhampton Wanderers","Stoke City",2,2,1
1889,"Wolverhampton Wanderers","West Bromwich Albion",1,1,1
